HS4,Name4,,
2303,制造淀粉过程中的残渣及类似的残渣、甜菜渣、甘蔗渣及制糖过程中的其他残渣，酿造及蒸馏过程中的糟粕积残渣，不论是否制成团粒糖,,
2304,提炼豆油所得的油渣饼及其他固体残渣，不论是否碾磨或制成团粒,,
2305,提炼花生油所得的油渣饼及其他固体残渣，不论是否碾磨或制成团粒,,
2306,品目2304或2305以外的提炼植物油脂所得的油渣饼及其他固体残渣，不论是否碾磨或制成团粒,,
2307,葡萄酒渣；粗酒石,,
2308,动物饲料用的其他处未列名的植物原料、废料、残渣及副产品，不论是否制成团粒,,
2309,配制的动物饲料,,
2401,烟草；烟草废料,,
2402,烟草或烟草代用品制成的雪茄烟及卷烟,,
2403,其他烟草及烟草代用品的制品；“均化”或“再造”烟草；烟草精汁,,
2501,盐（包括精制盐及变性盐）及纯氯化钠，不论是否为水溶液，也不论是否添加抗结块剂或松散剂；海水,,
2502,未焙烧的黄铁矿,,
2503,各种硫磺，但升华硫磺、沉淀硫磺及胶态硫磺除外,,
2504,天然石墨,,
2505,各种天然砂，不论是否着色，但第26章的含金属矿砂除外,,
2506,石英（天然砂除外）；石英岩，不论是否粗加修整或仅用锯或其他方法切割成矩形（包括正方形）的板、块,,
2507,高岭土及类似土，不论是否锻烧,,
2508,其他黏土（不包括品目6806的膨胀黏土）、红柱石、蓝晶石及硅线石，不论是否煅烧；富铝红柱石；火泥及第纳斯土,,
2509,白垩,,
2510,天然磷酸钙、天然磷酸铝钙及磷酸盐白垩,,
2511,天然硫酸钡（重晶石）；天然碳酸钡（毒重石），不论是否煅烧，但品目2816的氧化钡除外,,
2512,硅质化石粗粉（例如各种硅藻土）及类似的硅质土，不论是否煅烧，其表观比重不超过1,,
2513,浮石；刚玉岩；天然刚玉砂；天然石榴石及其他天然磨料，不论是否热处理,,
2514,板岩，不论是否粗加修整或仅用锯或其他方法切割成矩形（包括正方形）的板、块,,
2515,大理石、石灰华及其他石灰质碑用或建筑用石，表观比重≥2.5，蜡石，不论是否粗加修整或仅用锯或其他方法切割成矩形（包括正方形）的板、块,,
2516,花岗岩、斑岩、玄武岩、砂岩以及其他等碑用或建筑用石，不论是否粗加修整或仅用锯或其他方法切割成矩形（包括正方形）的板、块,,
2517,通常作混凝土粒料、铺路、铁道路基或其他路基的卵石、砾石及碎石，圆石子及燧石，不论是否热处理；矿渣、浮渣及类似的工业残渣，不论是否混有本品目第一部分所列的材料；沥青碎石，品名2515、2516所列各种石料的碎粒、碎屑及粉末，不论是否认处理,,
2518,白云石，不论是否煅烧或烧结、粗加修整或仅用锯或其他方法切割成矩形（包括正方形）的板、块；夯混白云石,,
2519,天然碳酸镁（菱镁矿）；熔凝镁氧矿；烧结镁氧矿，不论烧结前是否加入少量的其他氧化物；其他氧化镁不论是否纯净,,
2520,生石膏；硬石膏；熟石膏（由煅烧的生石膏或硫酸钙构成），不论是否着色，也不论是否带有少量促凝剂或缓凝剂,,
2521,石灰石助熔剂；通常用于制造石灰或水泥的石灰石及其他钙质石,,
2522,生石灰、熟石灰及水硬石灰，但品目2825的氧化钙及氢氧化钙除外,,
2523,硅酸盐水泥、矾土水泥、矿渣水泥、富硫酸盐水泥及类似的水凝水泥,,
2524,石棉,,
2525,云母，包括云母片；云母废料,,
2526,天然冻石，不论是否粗加修整或仅用锯或其他方法切割成矩形（包括正方形）的板、块；滑石,,
2528,天然硼酸盐及其精矿(不论是否煅烧)，但不包括从天然盐水析离的硼酸盐；天然粗硼酸，含硼酸干重不超过85％,,
2529,长石；白榴石；霞石及霞石正长岩；萤石（氟石）,,
2530,其他品目未列名的矿产品,,
2601,铁矿砂及其精矿，包括焙烧黄铁矿,,
2602,锰矿砂及其精矿，包括以干重计锰含量≥20%的含铁锰矿砂及其精矿,,
2603,铜矿砂及其精矿,,
2604,镍矿砂及其精矿,,
2605,钴矿砂及其精矿,,
2606,铝矿砂及其精矿,,
2607,铅矿砂及其精矿,,
2608,锌矿砂及其精矿,,
2609,锡矿砂及其精矿,,
2610,铬矿砂及其精矿,,
2611,钨矿砂及其精矿,,
2612,铀或钍矿砂及其精矿,,
2613,钼矿砂及其精矿,,
2614,钛矿砂及其精矿,,
2615,铌、钽、钒或锆矿砂及其精矿,,
2616,贵金属矿砂及其精矿,,
2617,其他矿砂及其精矿,,
2618,冶炼钢铁所产生的粒状熔渣（熔渣砂）,,
2619,冶炼钢铁所产生的熔渣、浮渣（粒状熔渣除外）、氧化皮及其他废料,,
2620,含有金属、砷及其化合物的矿渣、矿灰及残渣（冶炼钢铁所产生的灰、渣除外）,,
2621,其他矿渣及矿灰，包括海藻灰（海草灰）；焚化城市垃圾所产生的灰、渣,,
2701,煤；煤砖、煤球及用煤制成的类似固体燃料,,
2702,褐煤，不论是否制成型，但不包括黑玉,,
2703,泥煤（包括肥料用泥煤），不论是否制成型,,
2704,煤、褐煤或泥煤制成的焦炭及半焦炭，不论是否制成型；甑炭,,
2705,煤气、水煤气、炉煤气及类似气体，但石油气及其他烃类气除外,,
2706,从煤、褐煤或泥煤蒸馏所得的焦油及其他矿物焦油，不论是否脱水或部分蒸馏,,
2707,蒸馏高温煤焦油所得的油类及其他产品；芳族成分重量超过非芳族成分的类品,,
2708,从煤焦油或其他矿物焦油所得的沥青及沥青焦,,
2709,石油原油及从沥青矿物提取的原油,,
2710,石油及从沥青矿物提取的油类，但原油除外；以上述油为基本成分(按重量计不低于70%)的其他品目未列名制品；废油,,
2711,石油气及其他烃类气,,
2712,凡士林；石蜡、微晶石蜡、疏松石蜡、地蜡、褐煤蜡、泥煤蜡、其他矿物蜡及用合成或其他方法制得的类似产品，不论是否着色,,
2713,石油焦、石油沥青及其他石油或从沥青矿物提取的油类残渣,,
2714,天然沥青（地沥青）、沥青页岩、油页岩及焦油砂；沥青岩,,
2715,以天然沥青（地沥青）、石油沥青、矿物焦油或矿物焦油沥青为基本成分的沥青混合物（例如，沥青胶粘剂、稀释沥青）,,
2716,电力,,
2801,氟、氯、溴及碘,,
2802,升华硫磺、沉淀硫磺；胶态硫磺,,
2803,碳（碳黑及其他品目未列名的其他形态的碳）,,
2804,氢、稀有气体及其他非金属,,
2805,碱金属、碱土金属；稀土金属、钪及钇，不论是否相互混合或相互熔合；汞,,
2806,氯化氢（盐酸）；氯磺酸,,
2807,硫酸；发烟硫酸,,
2808,硝酸；磺硝酸,,
2809,五氧化二磷；磷酸；多磷酸，不论是否已有化学定义,,
2810,硼的氧化物；硼酸,,
2811,其他无机酸及非金属无机氧化物,,
2812,非金属卤化物及卤氧化物,,
2813,非金属硫化物；商品三硫化二磷,,
2814,氨及氨水,,
2815,氢氧化钠（烧碱）；氢氧化钾（苛性钾）；过氧化钠及过氧化钾,,
2816,氢氧化及过氧化镁；锶或钡的氧化物、氢氧化物及过氧化物,,
2817,氧化锌及过氧化锌,,
2818,人造刚玉，不论是否已有化学定义；氧化铝；氢氧化铝,,
2819,铬的氧化物及氢氧化物,,
2820,锰的氧化物,,
2821,铁的氧化物及氢氧化物；土色料，按重量计三氧化二铁含量≥70%,,
2822,钴的氧化物及氢氧化物；商品氧化钴,,
2823,钛的氧化物,,
2824,铅的氧化物；铅丹及铅橙,,
2825,肼（联氨）、胲（羟胺）及其无机盐；其他无机碱；其他金属氧化物、氢氧化物及过氧化物,,
2826,氟化物；氟硅酸盐、氟铝酸盐及其他氟络盐,,
2827,氯化物、氯氧化物及氢氧基氯化物；溴化物及溴氧化物；碘化物及碘氧化物,,
2828,次氯酸盐；商品次氯酸钙；亚氯酸盐；次溴酸盐,,
2829,氯酸盐及高氯酸盐；溴酸盐及过溴酸盐；碘酸盐及高碘酸盐,,
2830,硫化物；多硫化物，不论是否已有化学定义,,
2831,连二亚硫酸盐及次硫酸盐,,
2832,亚硫酸盐；硫代硫酸盐,,
2833,硫酸盐；矾；过硫酸盐,,
2834,亚硝酸盐；硝酸盐,,
